"Episode","Title","Restaurant","Location","Original Air Date"
1,"Funky Joints","Chef Point Café","Wautaga, Texas","April 6, 2009"
1,"Funky Joints","Jamie’s Bar & Grill","Sacramento, California","April 6, 2009"
2,"Their Own Way","Bluewater Seafood Market & Grill","San Diego, California","April 13, 2009"
2,"Their Own Way","Brandy’s Restaurant & Bakery","Flagstaff, Arizona","April 13, 2009"
2,"Their Own Way","Kuma’s Corner","Chicago, Illinois","April 13, 2009"
3,"A Little Bit of Everywhere","Bar Gernika","Boise, Idaho","April 20, 2009"
3,"A Little Bit of Everywhere","Café Rolle","Sacramento, California","April 20, 2009"
3,"A Little Bit of Everywhere","Havana Hideout","Lake Worth, Florida","April 20, 2009"
4,"A Burger, A Bowl and a Slice","La Piazza Al Forno","Glendale, Arizona","April 27, 2009"
4,"A Burger, A Bowl and a Slice","Slim’s Last Chance Chili Shack & Watering Hole","Seattle, Washington","April 27, 2009"
4,"A Burger, A Bowl and a Slice","Twisted Root Beer Co.","Dallas, Texas","April 27, 2009"
5,"Biscuits, Bagels and BLTs","Arleta Library, Bakery & Café","Portland, Oregon","May 4, 2009"
5,"Biscuits, Bagels and BLTs","Bubba’s Diner","San Anselmo, California","May 4, 2009"
5,"Biscuits, Bagels and BLTs","Flakowitz of Boynton Bakery & Deli Restaurant","Boynton Beach, Florida","May 4, 2009"
6,"Who’Da Thunk It","Backroad Pizza","Santa Fe, New Mexico","May 11, 2009"
6,"Who’Da Thunk It","Jamaica Gates Caribbean Cuisine","Arlington, Texas","May 11, 2009"
6,"Who’Da Thunk It","Chef Lou’s Westside Drive-In","Boise, Idaho","May 11, 2009"
7,"Go-To Joints","Black Duck Café","Westport, Connecticut","May 25, 2009"
7,"Go-To Joints","Otto’s Sausage Kitchen & Meat Market","Portland, Oregon","May 25, 2009"
7,"Go-To Joints","Sol Food Puerto Rican Cuisine","San Rafael, California","May 25, 2009"
8,"Homestyle","Giuseppe’s Restaurant","Phoenix, Arizona","June 1, 2009"
8,"Homestyle","Southern Kitchen Restaurant","Tacoma, Washington","June 1, 2009"
8,"Homestyle","Zia Diner & Angel Food Catering","Santa Fe, New Mexico","June 1, 2009"
9,"All Kinds of Classics","Blue Marlin Fish House Restaurant","North Miami Beach, Florida","June 8, 2009"
9,"All Kinds of Classics","Fred’s Texas Café","Fort Worth, Texas","June 8, 2009"
9,"All Kinds of Classics","Pine State Biscuits","Portland, Oregon","June 8, 2009"
10,"All Over The Map","Georgia Greek Restaurant & Deli","Seattle, Washington","June 15, 2009"
10,"All Over The Map","Los Tacquitos Grill","Phoenix, Arizona","June 15, 2009"
10,"All Over The Map","Rocco’s Café","San Francisco, California","June 15, 2009"
11,"Old Time Favorites","Blueplate Lunch Counter & Soda Fountain","Portland, Oregon","June 22, 2009"
11,"Old Time Favorites","Don’s Hilltop Kodiak Grill","Boise, Idaho","June 22, 2009"
11,"Old Time Favorites","La Camoronera Restaurant & Fish Market","Miami, Florida","June 22, 2009"
12,"Comfort Cookin’","Dottie’s True Blue Café","San Francisco, California","June 29, 2009"
12,"Comfort Cookin’","Over Easy","Phoenix, Arizona","June 29, 2009"
12,"Comfort Cookin’","Comet Café","Milwaukee, Wisconsin","June 29, 2009"
13,"Mama’s Cookin’","Polka Restaurant & Catering","Los Angeles, California","July 27, 2009"
13,"Mama’s Cookin’","Avila’s Café","Dallas, Texas","July 27, 2009"
13,"Mama’s Cookin’","Mama E's","Oklahoma City","July 27, 2009"
1,"Upper Crust","Bunk Sandwiches","Portland, Oregon","August 3, 2009"
1,"Upper Crust","Sonny’s Famous Steak Hogies","Hollywood, Florida","August 3, 2009"
1,"Upper Crust","The Depot American Diner","Chicago, Illinois","August 3, 2009"
2,"Burgers, Tacos & Dogs","Lankford Grocery","Houston, Texas","August 10, 2009"
2,"Burgers, Tacos & Dogs","Fab Hot Dogs","Reseda, California","August 10, 2009"
2,"Burgers, Tacos & Dogs","Cempazuchi","Milwaukee, Wisconsin","August 10, 2009"
3,"Name That Cook","Rick’s Press Room & Grill","Meridian, Idaho","August 17, 2009"
3,"Name That Cook","Nic’s Grill","Oklahoma City, Oklahoma","August 17, 2009"
3,"Name That Cook","Pam’s Kitchen","Seattle, Washington","August 17, 2009"
4,"Global Grub","Prince Lebanese Grill","Arlington, Texas","August 24, 2009"
4,"Global Grub","Tre Kronor","Chicago, Illinois","August 24, 2009"
4,"Global Grub","La Texanita","Santa Rosa, California","August 24, 2009"
5,"Only At This Joint","Podnah’s Pit Barbeque","Portland, Oregon","August 31, 2009"
